id,runDuration
12116,204.25
12796,82.77
13271,108.31
13320,149.73
13326,149.73
13872,162.88
14160,78.13
15268,36.53
15516,20
15517,173.63
15518,170.34
15519,142.85
15521,317.53
15526,20
15528,52.61
15530,32.96
15531,20
15550,46.44
15578,20
20770,39.32
21859,21.03
21860,33.9
22378,57.38
22425,20
23376,25.61
24918,20
25774,20
26164,20
26171,26.4
26187,20
26209,294.93
26406,122.74
26568,33.04
26571,67.62
27017,200.27
27018,200.27
27019,129.13
27021,96.85
27022,95.75
27023,198.08
27025,47.88
27026,34.82
27027,198.08
27029,95.75
27032,214.79
27035,47.8
27037,47.84
27038,95.68
27039,70.62
27040,150
27802,106.16
462891,53.42
519141,26.39
519142,51.45
519161,55.92
519162,86.42
519163,96.37
519164,144.02
519165,145.68
519166,206.58
519167,101.03
519169,21.92
519173,176.37
519393,107.26
519406,80.64
519409,20
519410,29.33
519411,58.93
519412,55.1
519413,46.27
519414,82.4
519415,20
519416,67.2
519417,20
519418,23.83
519421,20
519422,20
519423,80.79
519424,199.45
519425,203.01
519428,30.89
519433,77.91
519452,33.45
519453,187.12
519475,213.42
519482,77.72
519484,82.12
519485,78.26
519490,78.26
519492,44.96
519493,123.29
519494,24.56
519495,63.49
519496,50.79
519497,63.49
519498,63.49
519499,50.79
519502,20
24084081,85.94
24139655,78.26
30292714,181.64
30998947,177.26
31268024,112.67
31268038,36.54
31281748,20
31534597,20
31534598,38.16
31576396,39.79
31576677,60.51
31613353,20
31613355,28.64
31613376,258.63
31633554,70.57
31634104,102.97
31634106,43.58
31760701,20
31767883,20
31768172,34.93
31768433,20
31769403,256.85
31769405,20
31769654,20
31769666,20
31769721,20
31769734,20
31769759,20
31778845,163.11
31790411,134.66
31801677,118.22
31802872,119.37
31898627,20
31899153,120.41
31913864,161.78
31914030,20
31929070,20
32035094,94.36
32035874,27.74
32035877,20
32035996,79.09
32035997,20
32036014,94.63
32036023,148.22
32036032,134.18
32036069,20
32036071,20
32036087,44.28
32036364,89.59
